family	ER_prob_present_at_crown	ARD_prob_present_at_crown	ARD_informative	ER_class	ARD_class	classes_agree	both_confident	opposite_confident_calls	in_clade_wide_lost_set
fadD3	0.999993867311647	0.500008499368998	False	present	unresolved	False	False	False	False
fadD32	0.999999609801225	0.5	False	present	unresolved	False	False	False	False
fadD36	0.999996868726925	0.5	False	present	unresolved	False	False	False	False
fadD4	0.999645600484864	0.50000106160612	False	present	unresolved	False	False	False	False
fadD5	0.9963315483895	0.499999796746206	False	present	unresolved	False	False	False	False
fadD6	0.947333987263105	0.630830977412391	True	unresolved	unresolved	True	False	False	False
fadD8	0.999987961975545	0.953442970492225	True	present	present	True	True	False	False
fadD9	0.002912190668793	4.92338308857377e-08	True	absent	absent	True	True	False	True
fadE	0.992045111211503	0.499999999062174	False	present	unresolved	False	False	False	False
fadE12	0.9967281545517	0.0747316230964968	True	present	unresolved	False	False	False	False
fadE12_1	0.0731385070242366	0.493024607570975	True	unresolved	unresolved	True	False	False	True
fadE12_3	0.999938224207747	0.499999999999993	False	present	unresolved	False	False	False	False
fadE13	0.973787021733054	0.499852239551746	False	present	unresolved	False	False	False	False
fadE19	0.99999884550907	0.5	False	present	unresolved	False	False	False	False
fadE2	0.999995213133692	0.986495901328012	True	present	present	True	True	False	False
fadE20	0.999999665757135	0.5	False	present	unresolved	False	False	False	False
fadE21	0.0278653382211107	0.0045950829375767	True	absent	absent	True	True	False	False
fadE23	0.999964545231263	0.499999999999999	False	present	unresolved	False	False	False	False
fadE24	0.999977338412553	0.5	False	present	unresolved	False	False	False	False
fadE25	0.999969883181388	0.5	False	present	unresolved	False	False	False	False
fadE26	0.999953589967917	0.500079311330717	False	present	unresolved	False	False	False	False
fadE27	0.999988792636693	0.50040368552423	False	present	unresolved	False	False	False	False
fadE29	0.999942578797402	0.5	False	present	unresolved	False	False	False	False
fadE31	0.999988792637679	0.5	False	present	unresolved	False	False	False	False
fadE32	0.999948497925168	0.5	False	present	unresolved	False	False	False	False
fadE33	0.999977222281754	0.5	False	present	unresolved	False	False	False	False
fadE34	0.999993800920585	0.500356222096583	False	present	unresolved	False	False	False	False
fadE36	0.0500331486262405	0.0263323634531953	True	unresolved	absent	False	False	False	True
fadE6	0.999996949411204	0.5	False	present	unresolved	False	False	False	False
fadE9	0.999988282302905	0.5	False	present	unresolved	False	False	False	False
fas	0.999999632709061	0.5	False	present	unresolved	False	False	False	False
fba	0.999981263146634	0.536621457793113	True	present	unresolved	False	False	False	False
fbiB	0.999996668227672	0.5	False	present	unresolved	False	False	False	False
fbiC	0.999999642001124	0.5	False	present	unresolved	False	False	False	False
fbpA	0.999987827478232	1	True	present	present	True	True	False	False
fdxA	1	1	True	present	present	True	True	False	False
fdxD	0.999820068149403	0.495500895361541	True	present	unresolved	False	False	False	False
fecB	0.99998730593733	0.5	False	present	unresolved	False	False	False	False
ffh	0.999995188855825	0.5	False	present	unresolved	False	False	False	False
fgd	0.999993780458086	0.5	False	present	unresolved	False	False	False	False
fhaA	0.999966409158069	0.5	False	present	unresolved	False	False	False	False
fhaB	0.999987099572298	0.5	False	present	unresolved	False	False	False	False
fmt	0.505236099863457	0.5	False	unresolved	unresolved	True	False	False	False
fmu	0.999981606623907	0.5	False	present	unresolved	False	False	False	False
folA	0.503602159390265	0.5	False	unresolved	unresolved	True	False	False	False
folB	0.999977343337336	0.5	False	present	unresolved	False	False	False	False
folC	0.999999958782331	0.5	False	present	unresolved	False	False	False	False
folD	0.999998783093812	0.5	False	present	unresolved	False	False	False	False
folE	0.999986492877899	0.5	False	present	unresolved	False	False	False	False
folK	0.999948359844625	0.5	False	present	unresolved	False	False	False	False
folP	0.999992573295968	0.5	False	present	unresolved	False	False	False	False
folP2	0.99999598434337	0.5	False	present	unresolved	False	False	False	False
fpg	0.999999693027858	0.5	False	present	unresolved	False	False	False	False
fprA	0.999999655940378	0.5	False	present	unresolved	False	False	False	False
fprB	0.999995212816016	0.999999999999881	True	present	present	True	True	False	False
frr	0.999980725011435	0.5	False	present	unresolved	False	False	False	False
ftsE	0.999984260323428	0.5	False	present	unresolved	False	False	False	False
ftsH	0.999992734756615	0.5	False	present	unresolved	False	False	False	False
ftsI	0.99999965417757	0.5	False	present	unresolved	False	False	False	False
ftsK	0.999983478014649	0.5	False	present	unresolved	False	False	False	False
ftsQ	0.999991511425765	0.5	False	present	unresolved	False	False	False	False
ftsW	0.999999958755199	0.5	False	present	unresolved	False	False	False	False
ftsX	0.999992633959677	0.5	False	present	unresolved	False	False	False	False
ftsY	0.999996934853212	0.5	False	present	unresolved	False	False	False	False
